air
dust
earth
fire
hurricane
lake
lava
obsidian
ocean
pond
pressure
puddle
sea
smoke
steam
tornado
water
wave
wind
air + air = pressure
dust + dust = ?
air + dust = nothing
earth + earth = ?
air + earth = dust
dust + earth = ?
fire + fire = ?
air + fire = smoke
dust + fire = ?
earth + fire = lava
hurricane + hurricane = nothing
air + hurricane = ?
dust + hurricane = ?
earth + hurricane = ?
fire + hurricane = ?
lake + lake = ?
air + lake = ?
dust + lake = ?
earth + lake = ?
fire + lake = nothing
hurricane + lake = ?
lava + lava = nothing
air + lava = ?
dust + lava = ?
earth + lava = ?
fire + lava = nothing
hurricane + lava = ?
lake + lava = ?
ocean + ocean = ?
air + ocean = ?
dust + ocean = ?
earth + ocean = ?
fire + ocean = ?
hurricane + ocean = ?
lake + ocean = ?
lava + ocean = ?
pond + pond = ?
air + pond = ?
dust + pond = ?
earth + pond = ?
fire + pond = nothing
hurricane + pond = ?
lake + pond = ?
lava + pond = ?
ocean + pond = ?
pressure + pressure = ?
air + pressure = wind
dust + pressure = ?
earth + pressure = ?
fire + pressure = ?
hurricane + pressure = ?
lake + pressure = ?
lava + pressure = ?
ocean + pressure = ?
pond + pressure = ?
puddle + puddle = ?
air + puddle = ?
dust + puddle = ?
earth + puddle = ?
fire + puddle = ?
hurricane + puddle = ?
lake + puddle = ?
lava + puddle = ?
ocean + puddle = ?
pond + puddle = ?
pressure + puddle = ?
sea + sea = ?
air + sea = ?
dust + sea = ?
earth + sea = ?
fire + sea = ?
hurricane + sea = ?
lake + sea = ?
lava + sea = ?
ocean + sea = ?
pond + sea = ?
pressure + sea = ?
puddle + sea = nothing
smoke + smoke = nothing
air + smoke = ?
dust + smoke = ?
earth + smoke = nothing
fire + smoke = ?
hurricane + smoke = ?
lake + smoke = nothing
lava + smoke = ?
ocean + smoke = ?
pond + smoke = ?
pressure + smoke = ?
puddle + smoke = nothing
sea + smoke = nothing
tornado + tornado = nothing
air + tornado = ?
dust + tornado = ?
earth + tornado = ?
fire + tornado = ?
hurricane + tornado = ?
lake + tornado = ?
lava + tornado = ?
ocean + tornado = ?
pond + tornado = nothing
pressure + tornado = ?
puddle + tornado = ?
sea + tornado = hurricane
smoke + tornado = ?
water + water = puddle
air + water = ?
dust + water = ?
earth + water = ?
fire + water = ?
hurricane + water = ?
lake + water = sea
lava + water = steam
lava + water = obsidian
ocean + water = nothing
pond + water = lake
pressure + water = ?
puddle + water = pond
sea + water = ocean
smoke + water = nothing
tornado + water = ?
wave + wave = nothing
air + wave = ?
dust + wave = ?
earth + wave = ?
fire + wave = ?
hurricane + wave = ?
lake + wave = ?
lava + wave = ?
ocean + wave = ?
pond + wave = ?
pressure + wave = nothing
puddle + wave = ?
sea + wave = ?
smoke + wave = nothing
tornado + wave = nothing
water + wave = nothing
wind + wind = tornado
air + wind = nothing
dust + wind = ?
earth + wind = ?
fire + wind = ?
hurricane + wind = ?
lake + wind = wave
lava + wind = ?
ocean + wind = ?
pond + wind = nothing
pressure + wind = ?
puddle + wind = nothing
sea + wind = ?
smoke + wind = nothing
tornado + wind = nothing
water + wind = nothing
wave + wind = nothing
steam + steam = ?
air + steam = ?
dust + steam = ?
earth + steam = ?
fire + steam = ?
hurricane + steam = ?
lake + steam = ?
lava + steam = ?
ocean + steam = ?
pond + steam = ?
pressure + steam = ?
puddle + steam = ?
sea + steam = ?
smoke + steam = ?
steam + tornado = ?
steam + water = ?
steam + wave = ?
steam + wind = ?
obsidian + obsidian = ?
air + obsidian = ?
dust + obsidian = ?
earth + obsidian = ?
fire + obsidian = ?
hurricane + obsidian = ?
lake + obsidian = ?
lava + obsidian = ?
obsidian + ocean = ?
obsidian + pond = ?
obsidian + pressure = ?
obsidian + puddle = ?
obsidian + sea = ?
obsidian + smoke = ?
obsidian + steam = ?
obsidian + tornado = ?
obsidian + water = ?
obsidian + wave = ?
obsidian + wind = ?
